Row.names	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae
sample273	109	HR3	Hunan	13	0	Resistant starch	17588971.95	6482160.213	12054686.3	5871940.537	9629266.49	427967.3995	609406.0499	2322089.274	8780654.327	504448.2656
sample288	110	HR3	Hunan	13	1	Resistant starch	60718631.97	21030697.82	13108075.02	2171862.756	11836132.43	363709.0739	7425900.121	2254996.258	10684733.42	3776339.356
sample303	111	HR3	Hunan	13	3	Resistant starch	162697512.2	18689111.37	23052281.78	2038920.229	7650409.141	1212652.265	71582149.86	14385384.71	37081004.06	16026031.89
sample318	112	HR3	Hunan	13	5	Resistant starch	97826028.99	11036284.01	28861989.9	134306.4357	6761634.348	555750.7683	34099940.89	6210514.836	16380753.9	3644798.789
sample333	113	HR3	Hunan	13	8	Resistant starch	72102979.1	10556918.88	61641012.06	103583.8321	4885704.079	1074682.258	39784823.49	4644008.47	7924163.152	5839538.532
sample348	114	HR3	Hunan	13	13	Resistant starch	92118820.8	2668644.893	63386151.44	30179806.24	2518225.648	1426389.399	51321490.57	12977550.09	8573897.004	5039044.73
sample363	115	HR3	Hunan	13	19	Resistant starch	58954784.8	9843769.294	28998143.65	61493605.04	2447762.983	760807.3883	31650785.47	5988213.113	6807728.473	4415079.096
sample378	116	HR3	Hunan	13	25	Resistant starch	61804739.91	6205142.754	30224258.02	19900213.17	5581168.154	812618.0833	34444737.38	7520065.971	7299051.712	3033923.009
sample393	117	HR3	Hunan	13	31	Resistant starch	93478774.52	4195842.178	21441409.13	15636068.12	3369785.749	1121076.582	32186698.71	4687542.433	2579787.339	2258543.172
sample274	118	HR4	Hunan	14	0	Resistant starch	30514405.43	6726087.531	9843594.446	3185342.922	5929751.8	673935.9793	9563402.244	6585991.43	16354376.39	4137996.407
sample289	119	HR4	Hunan	14	1	Resistant starch	41542115.98	24842366.28	7084568.802	1288207.516	10160235.81	250771.0631	14592814.74	1180570.621	4763505.126	5184892.118
sample304	120	HR4	Hunan	14	3	Resistant starch	117861834.1	22570638.61	23908534.27	3336271.473	11888642.51	812898.633	41855811.9	16774502	31224621.97	5177994.938
sample319	121	HR4	Hunan	14	5	Resistant starch	58256298.52	20068462.07	24834065.46	378055.8003	8558763.257	1073258.411	15256651.85	5656134.835	17285551.31	1846172.491
sample334	122	HR4	Hunan	14	8	Resistant starch	52015754.48	15266749.49	41342381.52	101632.1921	6062061.341	1271398.795	35533404.27	2530840.862	10175175.94	8485291.647
sample349	123	HR4	Hunan	14	13	Resistant starch	59810810.67	10335735.72	39106634.77	2176537.91	3495993.534	1180743.623	54337889.18	3327960.297	7765616.606	7052885.021
sample364	124	HR4	Hunan	14	19	Resistant starch	74386303.49	22157693.48	29947167.91	52981135.45	7918239.895	757542.2751	18548915.93	4648934.933	6078733.267	1474949.86
sample379	125	HR4	Hunan	14	25	Resistant starch	61362944.49	7261430.866	26378427.59	15606020.58	7656432.886	1348787.386	21836592.52	4225282.934	3512352.458	2089244.135
sample394	126	HR4	Hunan	14	31	Resistant starch	92333267.74	3455840.314	25222505.76	3578136.032	3244781.573	1406400.767	25352691.52	2570182.608	3077118.087	2562292.561
sample275	127	HR5	Hunan	15	0	Resistant starch	35501228.18	3652327.073	33651274.09	1231399.487	4539239.223	677555.2047	10993142.87	6155094.191	20505561.17	8467536.814
sample290	128	HR5	Hunan	15	1	Resistant starch	72483346.45	27900222.18	14201148.05	1984882.939	12541442.53	395415.7363	22811846	4690359.03	7770439.502	10116919.73
sample305	129	HR5	Hunan	15	3	Resistant starch	33954296.27	20949046.92	9404661.205	3865006.33	11291219.36	187530.6322	21794810.07	14066672.72	14520496.85	3120509.72
sample320	130	HR5	Hunan	15	5	Resistant starch	42848850.85	13406315.39	14378140.44	121754.8459	7637349.423	201448.9268	28433077.1	5680416.991	16675986.44	1221975.908
sample335	131	HR5	Hunan	15	8	Resistant starch	52426913.4	4692758.682	35283679.34	2753329.508	5404004.92	821232.7694	62706987.89	29711028.41	16318335.07	7651396.383
sample350	132	HR5	Hunan	15	13	Resistant starch	40694827.45	4394528.135	18370677.98	2515359.474	2703810.954	483825.7861	39795339.18	1983418.416	5792544.08	4570950.797
sample365	133	HR5	Hunan	15	19	Resistant starch	59637936.05	18478897.49	29707078.15	5243020.517	11214273.45	836961.5582	7847462.828	7289909.886	10124453.41	595481.7129
sample380	134	HR5	Hunan	15	25	Resistant starch	85247351.25	4736692.098	29909051.93	47296145.83	7520514.46	2159952.567	48732619.14	10314822.03	14380460.9	8207295.494
sample395	135	HR5	Hunan	15	31	Resistant starch	49835446.87	2691975.738	15177261.53	19145611.36	3718323.379	965845.6141	13666897.67	4502662.912	3297724.95	1203480.082
sample6	136	SR1	Shanghai	16	0	Resistant starch	27626.57934	4780289.405	8911.799786	12476.5197	8002350.618	20032834.74	1169228.132	8020.619807	13636390.44	1571150.302
sample16	137	SR1	Shanghai	16	1	Resistant starch	18736.93659	23120811.96	17033.57871	13626.86297	4597362.895	17503137.7	1295687.554	6245.645529	12004698.49	1584690.606
sample26	138	SR1	Shanghai	16	3	Resistant starch	21431.29215	26096662.75	0	5173.07052	6274934.541	19877153.97	472966.4476	5173.07052	24824087.41	805520.981
sample41	139	SR1	Shanghai	16	5	Resistant starch	9706.924544	7088732.689	0	2677.772288	4422340.933	9916125.504	391958.9186	1673.60768	11242292.23	380913.108
sample56	140	SR1	Shanghai	16	8	Resistant starch	5287601.109	6376857.695	0	16809.51522	4213136.896	12437024.12	3377367.799	0	17887341.34	638089.1979
sample71	141	SR1	Shanghai	16	13	Resistant starch	8239534.185	3769651.56	23192.36644	39248.62013	4758003.176	21990823.45	1445062.832	15164.23959	21150546.18	1273796.126
sample91	142	SR1	Shanghai	16	19	Resistant starch	6240763.783	3590356.529	6688.443608	14268.6797	3363841.239	16318018.82	909182.4345	5350.754887	13160627.54	751335.1653
sample106	143	SR1	Shanghai	16	25	Resistant starch	13757792.34	13203964.27	0	26372.76486	5680034.232	20812506.94	2152676.932	9889.786823	14076463.24	2895509.809
sample121	144	SR1	Shanghai	16	31	Resistant starch	17181045.87	3214320.605	5022.375946	17076.07822	1651859.449	10522882.08	2056662.95	7533.563919	668478.2384	2099855.383
sample7	145	SR2	Shanghai	17	0	Resistant starch	64388.95045	5834061.133	16888.90504	13722.23534	2709613.702	33034698.25	3442169.958	14777.79191	25823135.8	6179228.13
sample17	146	SR2	Shanghai	17	1	Resistant starch	54491.05003	26276531.99	26850.66233	8686.97899	2277567.946	29478078.61	3495324.455	20532.85943	28213728.31	3015171.435
