Row.names	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae
sample315	130	HC5	Hunan	15	5	Control	16542735.22	13486005.48	9625648.247	5790535.854	11514804	614291.1787	1262242.148	1755568.454	5258290.415	2811644.385
sample330	131	HC5	Hunan	15	8	Control	27460365.42	4705005.797	20037878.39	8780282.12	5306369.078	983361.3402	2630491.585	3067330.95	5790485.43	7810158.336
sample345	132	HC5	Hunan	15	13	Control	9454938.986	4050685.146	5416130.505	3287609.403	4453007.182	286895.6952	309535.5884	1186553.089	1310144.637	488056.7131
sample360	133	HC5	Hunan	15	19	Control	41903526.6	3377592.983	16421120.26	1603020.816	4111607.778	416222.9488	3942868.745	2770132.463	2519836.231	13673486.33
sample375	134	HC5	Hunan	15	25	Control	20258048.22	3009586.747	7367793.107	485435.4045	3169143.332	223266.4578	216500.8076	1984026.932	1134937.827	691223.9325
sample390	135	HC5	Hunan	15	31	Control	51245479.62	786384.3154	10385696.3	31711286.48	1698183.371	713508.1827	13643089.95	3148926.849	1438879.922	5433508.869
sample1	136	SC1	Shanghai	16	0	Control	14665.05222	76145.46344	16357.17363	12972.93081	8379949.261	16933622.99	772171.4033	0	17382599.2	2133765.098
sample11	137	SC1	Shanghai	16	1	Control	28906.48049	60125.47942	8671.944147	4046.907269	5078868.622	21198278.4	554426.2958	5781.296098	19656406.73	1226791.032
sample21	138	SC1	Shanghai	16	3	Control	55507.55377	23583141.14	11774.32959	8410.235419	5567575.847	24022996.45	1264058.383	10092.2825	23658833.26	2123584.443
sample36	139	SC1	Shanghai	16	5	Control	30397.59866	1777090.383	4676.55364	8963.394476	4117705.48	12017184	690181.3746	3507.41523	11228795	809043.7797
