Row.names	sampleID	Subject	subjectID	Time	Group	Bacteroidaceae	Akkermansiaceae	Lachnospiraceae	Sutterellaceae	Porphyromonadaceae	Prevotellaceae	Acidaminococcaceae	Ruminococcaceae	Enterobacteriaceae	Desulfovibrionaceae
4-D28AM	179	4	3	28	H2	33303231.05	54171088.77	14683231.38	838440.8	4462668.223	0	2710658	7317574.434	12020.66	8790105
4-D29AM	180	4	3	29	H2	226516300	107879100	64697550	12432010	30018320	3215934	9083912	1841453	105729.3	13498110
4-D29PM	181	4	3	29.5	H2	110674600	38969620	23750740	11128830	6578510	2039413	3117121	535112	26194.29	3360354
4-D30AM	182	4	3	30	H2	211349300	100073500	77475400	14235920	17946580	14552470	4572376	1336541	0	3965657
4-D30PM	183	4	3	30.5	H2	93325864.59	37797060.4	28768191.48	4284184	5065478	6038216	5872643	419104.956	0	972737.4
4-D31AM	184	4	3	31	H2	143975423.2	54871956.7	35260228.65	22242890	13558075.48	8935405	6739472	1002348.03	0	2156367
4-D31PM	185	4	3	31.5	H2	102507411.1	42467781.7	25488874.4	12089970	4795711.9	6220255	4881483	1047896.73	0	1868314
4-D32	186	4	3	32	H2	89937807.3	38372252.5	27293732.57	16011250	9908403.3	9038868	1578045	842697.413	0	810492.3
4-D33	187	4	3	33	H2	66732509.21	26269008.11	15229573.97	7581222	4627555.217	3830672.5	563015.7	355132.984	0	627979
4-D35AM	188	4	3	35	H2	104010000	21942700	25643940	13876030	10309560	9289188	3118857	678640.2	0	847096.9
4-D35PM	189	4	3	35.5	H2	123247700	26494580	22599420	11450250	12344060	12983850	4360879	874998.3	0	1543008
4-D36AM	190	4	3	36	H2	50185143.81	15090574.61	4948691.813	20876190	6493247.885	7793308	1817262.845	578326.943	28211.07	815770.147
4-D36PM	191	4	3	36.5	H2	39339637.69	14674341.6	1968195.641	10949340	5134733.832	962673.5	3854978	314225.705	114263.9	1379736.689
4-D37AM	192	4	3	37	H2	121039000	15441110	284902.3	13829630	8538165	44515.98	8737004	207741.3	5315208	590578.7
